2026-08-28 13:37:28 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 232636e5.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-232636e5","roomPrice":175,"type":"Double"}
2026-08-28 13:37:28 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=199.0 | headers={"CF-RAY":"a323b5f80de7ebe3-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 28 Aug 2026 13:37:28 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=USzrUkw5tB9t%2FNsgA78aT%2BySA441XaGYZ7n3XsU%2FZUuhlP3XJY6KyiO9YBwQN3NdqYYoG3mvVrq%2F%2FugrrMO4WQt4Gx9PNdablkKXFpmz5FleqyCLPL5dRpB12E5cOHP5LNCTG5mVw4OvlmX6Vw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"lRuzhaPkSV6Tei5Fn6XIxQ"} | body={"success":true}
2026-08-28 13:37:28 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-28 13:37:28 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=376.1 | headers={"CF-RAY":"a323b5f96b84dfce-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 28 Aug 2026 13:37:28 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Xn6l%2FYWeP3LNNLeg9H%2FxVjEgIl3QFddgAop%2FYVYpcjL2MqbRYkwFOfScttFY4EycH4XkY%2BUIWeyT9ouYKWofzVNvBvgWnp9eOhPOpHEGQ11QuhTbQ89Aje80c1B3M307L4QLhn%2BpEbpmcy8UQw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"UaaouP1pS3ePWvD6CYBc-A"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 232636e5.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-232636e5","roomPrice":175,"roomid":9,"type":"Double"}]}
2026-08-28 13:37:28 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-27","checkout":"2026-10-29"},"depositpaid":false,"email":"api.a8c129a6@example.com","firstname":"Api","lastname":"Guesta8c129a6","phone":"01234567890","roomid":9}
2026-08-28 13:37:29 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=524.7 | headers={"CF-RAY":"a323b5fb9e19dfce-SJC","Connection":"keep-alive","Content-Type":"application/json","Date":"Fri, 28 Aug 2026 13:37:29 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=u2eE93DkM317rqieZBfmYdmktsEeiDOw%2BAkuAdlFBebRw09NaMPaegz9ITH1fv5D4M%2FniRQp%2Bql91528Qe4lsDo0XCUe0vQC7jehmszSAVzKZ6iPiEuk4DdT32fgm%2Fu4NsI4RtT4A8yxfmxM3Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"qgDRyQf5RHWfWxewYqVb7A"} | body={"bookingdates":{"checkin":"2026-10-27","checkout":"2026-10-29"},"bookingid":7,"depositpaid":false,"firstname":"Api","lastname":"Guesta8c129a6","roomid":9}
2026-08-28 13:37:29 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":9} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-28 13:37:29 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=9 | status=200 | elapsed_ms=351.6 | headers={"CF-RAY":"a323b5feef04ebe3-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 28 Aug 2026 13:37:29 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=rOKgtN42PtQP0jKiEKKHbEoFOgLWp3MhKGnv2vI61qrUPAkBjNtvmrxqWiDljfw1zz9380S8VbdH%2Fi357%2BFwNW2N81GY87ZBDiuRvg9Ugmst4ztFTR%2BFaCfubiiRhOXqDgEjkKir4TPLJ9ZzKg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"v6XLt5XXSJ6UL4xTljLL4A"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-27","checkout":"2026-10-29"},"bookingid":7,"depositpaid":false,"firstname":"Api","lastname":"Guesta8c129a6","roomid":9}]}
2026-08-28 13:37:29 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking/7 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-28 13:37:30 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking/7 | status=403 | elapsed_ms=363.3 | headers={"CF-RAY":"a323b6011d0adfce-SJC","Connection":"keep-alive","Content-Length":"0","Date":"Fri, 28 Aug 2026 13:37:30 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=ux8NyrfoDRJOuZ%2FziWDaoH2xy2gqlG6UX9U4Fi%2FAqk1zMkP6LYRjfSgpogLez1%2FyGyAKhmF9jqBodlcTuMigkmarJwb7gzdvmo3%2Ft4bCloSzrxGJGQKjrmKKhfiHkIEyEIi%2FaybRRvFhqNJA9Q%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"1tkzWMA4RPGu7W9q2h0iww"} | body=<empty>
2026-08-28 13:37:30 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/7 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
