"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Test framework","0","DTO contracts","4","0","","0"
"0","Test framework","0","Configuration","3","0","","0"
"0","REST API","0","Authentication service","2","0","Token validation","0"
"0","REST API","0","Booking service","1","0","Date validation","0"
"0","Web interface","0","Administration","3","0","Access control","0"
"0","Web interface","0","Home page","3","0","Navigation","0"
"0","Web interface","0","Home page","3","0","Contact form submission","0"
"0","Web interface","0","Room reservation","6","0","Guest details validation","0"
"0","Test framework","0","JSON Schema validation","2","0","","0"
"0","Web interface","0","Administration","9","0","Authentication","0"
"0","Test framework","0","Test-data cleanup","4","0","","0"
"0","Web interface","0","Room reservation","3","0","Guest details entry","0"
"0","REST API","0","Message service","1","0","Message authorization","0"
"0","Web interface","0","Home page","3","0","Room discovery","0"
"0","REST API","0","Room service","2","0","Room authorization","0"
"0","Web interface","0","Room reservation","3","0","Price calculation","0"
"0","REST API","0","Booking service","2","0","Booking authorization","0"
"0","REST API","0","Message service","1","0","Contact message validation","0"
"0","Web interface","0","Administration","3","0","Navigation","0"
"0","REST API","0","Room service","1","0","Room administration","0"
"0","REST API","0","Authentication service","1","0","Token issuance","0"
"0","REST API","0","Room service","2","1","Room discovery","0"
"0","Test framework","0","Allure step adapter","2","0","","0"
"0","Test framework","0","Safe HTTP logging","4","0","","0"
"0","REST API","0","Booking service","1","0","Booking creation","0"
"0","REST API","0","Booking service","1","0","Booking conflict","0"
"0","Web interface","0","Home page","6","0","Contact form validation","0"
"0","REST API","0","Message service","1","0","Message administration","0"
"0","REST API","0","Booking service","1","0","Guest validation","0"
"0","Web interface","0","Room reservation","3","0","Room details","0"
"0","REST API","0","Authentication service","1","0","Credential validation","0"
"0","REST API","0","Message service","1","0","Contact message creation","0"
"0","REST API","0","Branding service","1","0","Public branding","0"
"0","REST API","0","Room service","1","0","Room availability","0"
"0","REST API","0","Report service","2","0","Room availability","0"
"0","REST API","0","Booking service","1","0","Booking discovery","0"
"0","REST API","0","Message service","0","1","Message discovery","0"
