"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1212","Price summary reflects the selected stay","Restful Booker Platform","2026-09-11","passed","2026-09-11","Room reservation","UI tests","",""
"","152","Overlapping booking for the same room is rejected","Restful Booker Platform","2026-09-11","passed","2026-09-11","Booking service","API tests","",""
"","0","test_room_response_parses_api_payload_into_immutable_types","Restful Booker Platform","2026-09-11","passed","2026-09-11","API contracts","Framework unit tests","",""
"","0","test_response_log_fields_redact_nested_json_and_sensitive_headers","Restful Booker Platform","2026-09-11","passed","2026-09-11","HTTP diagnostics","Framework unit tests","",""
"","1296","Guest form reports an invalid email and phone","Restful Booker Platform","2026-09-11","passed","2026-09-11","Room reservation","UI tests","",""
"","1324","User can cancel guest details entry","Restful Booker Platform","2026-09-11","passed","2026-09-11","Room reservation","UI tests","",""
"","1281","Guest form reports an invalid email and phone","Restful Booker Platform","2026-09-11","passed","2026-09-11","Room reservation","UI tests","",""
"","1698","Primary navigation opens the contact section","Restful Booker Platform","2026-09-11","passed","2026-09-11","Home page","UI tests","",""
"","0","test_cleanup_accepts_failed_delete_when_resource_is_already_absent","Restful Booker Platform","2026-09-11","passed","2026-09-11","Resource lifecycle","Framework unit tests","",""
"","0","test_report_step_uses_fixed_title_and_preserves_function_metadata","Restful Booker Platform","2026-09-11","passed","2026-09-11","Reporting","Framework unit tests","",""
"","1","test_booking_request_serializes_external_field_names","Restful Booker Platform","2026-09-11","passed","2026-09-11","API contracts","Framework unit tests","",""
"","1","test_cleanup_removes_resources_in_reverse_creation_order","Restful Booker Platform","2026-09-11","passed","2026-09-11","Resource lifecycle","Framework unit tests","",""
"","209","Contact message rejects an invalid email","Restful Booker Platform","2026-09-11","passed","2026-09-11","Message service","API tests","",""
"","0","test_booking_collection_finds_exact_unique_guest","Restful Booker Platform","2026-09-11","passed","2026-09-11","API contracts","Framework unit tests","",""
"","268","Created booking appears as an unavailable room period","Restful Booker Platform","2026-09-11","passed","2026-09-11","Report service","API tests","",""
