2026-09-15 07:01:33 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"description":"This message verifies the complete API resource lifecycle. Reference: 0e277ac9.","email":"api.0e277ac9@example.com","name":"API User 0e277ac9","phone":"01234567890","subject":"API lifecycle 0e277ac9"}
2026-09-15 07:01:33 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=158.9 | headers={"CF-RAY":"a3b5c2c2dbf12145-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 15 Sep 2026 07:01:33 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=wh5TAbYyWcfID7e94e0j5wFum9%2BWJZa3SCpKcikoL4ODHY9YNUMKfc%2FgmYU97O6AdPnmJFi1aBBgaMmUnxBwBSlqrNDn0krXa61okDWoDs4HyJMSxHrWyp9I4GaBe%2B2GV8ilM%2Fbgs4Gjd3MwEg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"NHRNenrYTVKGq0znPvyhXg"} | body={"success":true}
2026-09-15 07:01:33 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-15 07:01:33 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=130.4 | headers={"CF-RAY":"a3b5c2c3bdb6b834-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 15 Sep 2026 07:01:33 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=x6plnqAiuJE8Vw8jxyt1HmPDkWe3bPzNOtQ2Ip4jEaWH1kU7GZhrbLZRDohF7JI0HyYND5qg8INVqPKeNR4MLx9R2UO6lEhAYh8HIhjTssRJNEeK9t%2Fz4tAp%2BfFxEP2MzzrlyhxJL8y1efvJfw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"lGvW2hKVRCmdDPPWBT7zVQ"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":2,"name":"Api Guestd51cc096","read":false,"subject":"You have a new booking!"},{"id":3,"name":"API User f79e6f29","read":false,"subject":"API lifecycle f79e6f29"},{"id":4,"name":"API User 96622166","read":false,"subject":"API lifecycle 96622166"},{"id":5,"name":"API User 0e277ac9","read":false,"subject":"API lifecycle 0e277ac9"}]}
2026-09-15 07:01:33 | INFO     | restful_booker.api.http | HTTP request | method=PUT | url=https://automationintesting.online/api/message/5/read | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-15 07:01:33 | INFO     | restful_booker.api.http | HTTP response | method=PUT | url=https://automationintesting.online/api/message/5/read | status=403 | elapsed_ms=143.9 | headers={"CF-RAY":"a3b5c2c48fa4b834-ORD","Connection":"keep-alive","Content-Length":"0","Date":"Tue, 15 Sep 2026 07:01:33 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=zQaWhbTcmZioNvBdMJAFx9IzMpfqGxQXnbNkZSdlCJMKh2eBlk3UjQQtLBc6PZ2fNJOXk80WiGn9U9i4lKattzS%2BSRiXuHSgFPCmOHMehbu6W6xEvxMDLiOhra60yQvU153ebCgev4oev4xH7Q%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"RBR_zYVwRTu94HALBT7zVQ"} | body=<empty>
2026-09-15 07:01:33 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-15 07:01:33 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/message | status=200 | elapsed_ms=127.5 | headers={"CF-RAY":"a3b5c2c56ad02145-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 15 Sep 2026 07:01:33 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=LJtlwaEE96VkXGZfcN6aJu30KtDgjWZirhp8MrfpomNggnwz64sAUPAsNcxEkHQok7KGF9M%2BLwUdWwLFQ2bLOf89PlVJl1MckKRN9eY46zfV2R75ymEW3%2BC3grWULkAOK0mpqvxyCsMP9PNv4w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"I2ggR08IQLCyKoSUPvyhXg"} | body={"messages":[{"id":1,"name":"James Dean","read":false,"subject":"Booking enquiry"},{"id":2,"name":"Api Guestd51cc096","read":false,"subject":"You have a new booking!"},{"id":3,"name":"API User f79e6f29","read":false,"subject":"API lifecycle f79e6f29"},{"id":4,"name":"API User 96622166","read":false,"subject":"API lifecycle 96622166"},{"id":5,"name":"API User 0e277ac9","read":false,"subject":"API lifecycle 0e277ac9"}]}
2026-09-15 07:01:33 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/message/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-15 07:01:33 | INFO     | restful_booker.api.http | HTTP response | method=DELETE | url=https://automationintesting.online/api/message/5 | status=403 | elapsed_ms=149.4 | headers={"CF-RAY":"a3b5c2c63c62b834-ORD","Connection":"keep-alive","Content-Length":"0","Date":"Tue, 15 Sep 2026 07:01:33 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=U%2B1dJWD1V7xOF2RcMKFcS6C0gHN5dcTFT6g1hXbQV5XkbVhWW5J%2FcgAozkYXh7UCZZZ6z5fqjZuE87iPakv76mt6we8x8Tgfd%2FF0LGHnjh41O7KmQtn5vo991n8qHBw9jGhZv3LkV3hfg%2BGXlA%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"s21jxL7oSfGtdBxeo3UVLg"} | body=<empty>
2026-09-15 07:01:33 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/message | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
