2026-09-26 06:55:29 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-26 06:55:30 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=298.7 | headers={"CF-RAY":"a4105d037a949b88-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:30 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=upRuCJJFjJ6IsYM8JSNuqwTMac%2FsWiEplMzk%2BwpYCmEt4pRB0uZwu1ZfeaiWqsCr3WcqfamDREdPttyUadxsN2oUA2Y2XKelO%2BbEe85MrthcVkFQ6A5v%2B1QqIo3pwl7TyEC4K2ZXFi3Y8H9zbw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"t4sVysllTPu3RajPPvyhXg"} | body={"token":"<redacted>"}
2026-09-26 06:55:30 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room fe45e5ac.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-fe45e5ac","roomPrice":175,"type":"Double"}
2026-09-26 06:55:30 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=163.9 | headers={"CF-RAY":"a4105d050e4d9b88-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:30 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=xIaHg%2BhJKUiIQ%2BVrMDJepStKsoNR6aiiHeGLMUKty9nzVCK4CZbjC5mplPgkXm%2FcxPgwSlM3Ly8idWPe9l3nX07amEBScpElYeudIcqpzs5I2rRHCWEW5E215TIjgrShddwd%2BOs4ybB2%2BZ%2FMXQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"jKvrhOE8QEKZ9AMrg4a9AQ"} | body={"success":true}
2026-09-26 06:55:30 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-26 06:55:30 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=293.3 | headers={"CF-RAY":"a4105d066d134fb7-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:30 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=ZIlrxcE%2F43enyr6h1n2wM8YgQElGNPda0jzH1wpoXn%2Buvg6BFjm%2BdmxdFy4ocG%2FjJaXNt6ekt%2BakYMaUTV%2BKMwxOJvKrowKsP1DbXNzTV%2BKoopKm56vq8%2FgIwOWFEDE6YkukE2HzEWDBfiNC8A%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"tC_NSwwsRbm51srhqmzx2A"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room fe45e5ac.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-fe45e5ac","roomPrice":175,"roomid":11,"type":"Double"}]}
2026-09-26 06:55:30 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/report/room/11 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-26 06:55:30 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/report/room/11 | status=200 | elapsed_ms=178.3 | headers={"CF-RAY":"a4105d07e8644fb7-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:30 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=l1O7nid%2F1BR8%2Fma8cZQAtVWOra7AFP8BcUX38gYGsCQPREJPwbgVEfAdEorwf7%2FYY5M4ULbCuuEweFVECSLhkurUNFKW9JYjYDiScukcHz4z%2BY6PR7Qe82YwcA3nFVrjdenD8aTKY5ISB8ThVA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"Accept-Encoding","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"1l-37tN3SP-oNeK0BT7zVQ"} | body={"report":[]}
2026-09-26 06:55:30 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-26 06:55:30 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=243.9 | headers={"CF-RAY":"a4105d090abb4fb7-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:30 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Oe9od%2B%2F6lHlvqntbXuS21QbVtnuSC2HpehYIzXxTYvTOVFMl3hOyC9ayxtDGeRdHKFEiZfsYJGqC1t0CLqS%2BlKtwRhuhqkFB9P6yn3RJyvqMLABEHQv2XSR%2Ba%2BZab8j2E3cVxmgOs1uHQsMdew%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"3UJXPGSvRO6W4Kr-woOzXw"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room fe45e5ac.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-fe45e5ac","roomPrice":175,"roomid":11,"type":"Double"}]}
2026-09-26 06:55:30 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/room/11 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
