2026-09-25 15:01:16 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:01:16 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=197.3 | headers={"CF-RAY":"a40ae7398b3dec6f-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:16 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=c8YfsIt7yuI8C1YZtaiPdqOipFt3EhdYv4zwEKClUPg5nB6tI%2FFO%2BMH905Ics0Qk8EIwKGEbW36pAhrql26T1VCsKf%2FEZ%2FkWbozJR%2BYJeymIMpctlqlsz03nVObZs5x44GFSKzXnRyX0xIniKQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"x_xaEQBBTYeEAj81Cx5-qw"} | body={"token":"<redacted>"}
2026-09-25 15:01:16 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 6d7bbced.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-6d7bbced","roomPrice":175,"type":"Double"}
2026-09-25 15:01:16 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=235.7 | headers={"CF-RAY":"a40ae73a6f7aec6f-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:16 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=BXbEr7s0HQLU0tCUk3vXMqZfuOxxrHIjxgZ1B67sHnLCKeOb2bNEOk1sC7WvHXBsD%2FucdkBuJpS5GfUeeo1L3Fi8jDlJ6Uj%2Fo6yWAN3sm%2BtIJjkZlJe5Hf5qJFWqMHl2WAwwhhHAsGGyydYRVQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.cnkb","x-railway-edge":"yyz1","x-railway-request-id":"-2x2i_AZReiVaDwJ8u2xcg"} | body={"success":true}
2026-09-25 15:01:16 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:01:16 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=192.7 | headers={"CF-RAY":"a40ae73c383c7091-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:16 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=%2FoYkIYwDIbIOwg7MCuBTd3MYm5Obn9IWnaZdvg%2FVCfbFIeZst1WxysUskaBQebCyDPVqxyKjsL8lnSv0HUrKeZq%2FdFvftfcRfvGDhyHdqFyo%2BqmdM1AvMILjASrYhtQOJyY%2Fo78e%2BweW5hGwsQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"EwIDeB45TcuojdC6Cx5-qw"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 6d7bbced.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-6d7bbced","roomPrice":175,"roomid":27,"type":"Double"}]}
2026-09-25 15:01:16 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room/27 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:01:17 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room/27 | status=200 | elapsed_ms=147.1 | headers={"CF-RAY":"a40ae73d1ac77091-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:17 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=egC50r%2BmT%2F%2FCtaZ6avXxRTXRSjTkpJDuyEfwAckC5VTxSqSjBxiIbcZoQxl9Z18FUYesHXCb5O1L8%2BJlNO%2FqmX9pa2VEgqutnB%2FZBzen6XGsOwK34XYRo0xq0tnyCzkI1LMOXI9Mqs9ZdRLzow%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"Accept-Encoding","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"zlGpDRrvRqaJFvQaCx5-qw"} | body={"accessible":true,"description":"Automated API lifecycle room 6d7bbced.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-6d7bbced","roomPrice":175,"roomid":27,"type":"Double"}
2026-09-25 15:01:17 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:01:17 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=230.5 | headers={"CF-RAY":"a40ae73e0e007091-YYZ","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:01:17 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Dw3sL5t7Bc6avdXIOxu%2FZFbYza16VdZkSCqTwHRqV5F8EpIuo73s1ZC0E23J7yljsg8sUGzOtz79ADPW%2BUvpqFDCdgg54OM2dJpLHN75EFHCLYOXXvz6u9Qmp5qDhT7%2F6sTkBl5X1bdr%2Fhd9Ig%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"yyz1.nas1","x-railway-edge":"yyz1","x-railway-request-id":"lXLVF4ytRs23_abhg4a9AQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 6d7bbced.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-6d7bbced","roomPrice":175,"roomid":27,"type":"Double"}]}
2026-09-25 15:01:17 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/room/27 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
