2026-09-25 15:19:19 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-25 15:19:19 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=178.1 | headers={"CF-RAY":"a40b01a87fddc978-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:19 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=L9FVRCvz9nU%2F944u7JjOfgX4Q6HXftjZZR97I7UqAFXdMz5oj7MCImWFxEOxEUWCqELJQ3th1XAyPy5AwR7IzlpgdspywwnOBunezqv9apvtH2gvASvKhso7SU0E1IZuqjaH1eh0rS4Yu8tyhA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"tC9v_aikTJS-2FiW8u2xcg"} | body={"token":"<redacted>"}
2026-09-25 15:19:19 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 08643465.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-08643465","roomPrice":175,"type":"Double"}
2026-09-25 15:19:19 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=210.3 | headers={"CF-RAY":"a40b01a95a93c978-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:19 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=SidjlBCN1S%2FFxxso6X1YkORIFhutm0KOwiO0CLDImBavjvFvWcD0cYF1DTDVytA1cTTBLWKHoPAgXDoC6uGq19NQA%2Bhb%2F1lDmzFtCpj42iUn2SdqaGvn5IogUzTjpuomyc1T13iF7zNPgbQBvQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"X9V9WGpBTK6lDWlKH4GxDA"} | body={"success":true}
2026-09-25 15:19:19 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:19:19 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=157.5 | headers={"CF-RAY":"a40b01aaeef7a5b8-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:19 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=C4MAZvn0BtlWCmkKVJpiKo%2BHSMb8gxylTfpg6b%2FKLp0NynvXo1qHuEM5g3%2FnzpVRDbDFG%2BulhTcOEKypmbGrHF48m0C1meaNnpTrsSGeo%2Boda%2BmxLk8cfJI7sqN%2BdWOgtm8PURzYpTpvqBQqGg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"QZsNfPEjQGe8TwaBqmzx2A"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 08643465.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-08643465","roomPrice":175,"roomid":14,"type":"Double"}]}
2026-09-25 15:19:19 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room/14 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:19:19 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room/14 | status=200 | elapsed_ms=114.7 | headers={"CF-RAY":"a40b01aba9aca5b8-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:19 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=JUtTf0azRfybY8TXtWgsw6h%2BUI9D%2BKzBjKGcfOzl05%2FQIyvz7pScqzx2BTjDBQa%2FJPLFTFNVbdUXxgLdsdyq9lA18EjFvOLxkB5e2RhPz3Z5ClpNLQ0uyKOPYno%2FgE1uDToXukDl8Q3fSJRQtg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"Accept-Encoding","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"9zMu1HhOQzeS9QLuPvyhXg"} | body={"accessible":true,"description":"Automated API lifecycle room 08643465.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-08643465","roomPrice":175,"roomid":14,"type":"Double"}
2026-09-25 15:19:19 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-25 15:19:19 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=109.9 | headers={"CF-RAY":"a40b01ac6c4aa5b8-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Fri, 25 Sep 2026 15:19:19 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=8%2B01oDhVcldIxJBhnSceuqOTR7Vzpee8hzjZM%2BaRq5N2ladmj1EEDKw23Qa5w62yE1XDLv0scixsSfMUOtxpGj254DyLqcRI58Xahejx8zZLeJAs29q%2FKBaVe1C4n4rt16WJQoUU9z3wVcJsdA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"fqMtO-NCT-Oskin9ezItjw"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 08643465.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-08643465","roomPrice":175,"roomid":14,"type":"Double"}]}
2026-09-25 15:19:19 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/room/14 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
