2026-09-26 06:55:13 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/auth/login | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"password":"<redacted>","username":"admin"}
2026-09-26 06:55:13 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/auth/login | status=200 | elapsed_ms=397.5 | headers={"CF-RAY":"a4105c9b887bf78b-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:13 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=23Z4ZjhHFiqXCsTc7L04XQbQWyfIOZYbLhpLDjMR5T2unck5yFq28UceKzI6VDVZ5Aqh9N0XxHLqs0gIhSAn2cask5d5nP09T3WgkBuouOO9XNveAbkbMahp8qFG5ogFcFMBiho2qjJZhw2KIA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"cm2l9cH9QWyiLh69U79b0g"} | body={"token":"<redacted>"}
2026-09-26 06:55:13 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room d572876c.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-d572876c","roomPrice":175,"type":"Double"}
2026-09-26 06:55:13 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=258.7 | headers={"CF-RAY":"a4105c9dba81f78b-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:13 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=UlT3dgjsTyjyDGS5Ttt9XAryCMw%2FOjKsa7aU9AhevXOM%2F7Zfv5ZKpkvy2XT8ahdb%2Fed9TKiYzO%2BA8CCZ%2BysGCG87Cy3558%2Fd5KyIllSB2MI%2Bpcpf2YMJ13K%2BJICh%2FuiSFbRGYlXythSGNS09BQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"bbgpmRVtTgyQft1XjVra_w"} | body={"success":true}
2026-09-26 06:55:13 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-26 06:55:14 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=293.8 | headers={"CF-RAY":"a4105c9f9f23f0a6-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:14 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=mNPMbjovN3RoaFJ7cMTwclgq4GXInJjCG1KK3D3oCq8NQ6miExb5yEudIWK8e04KecPri855iBbq74lRru6Q6wdO1aGj5monme8l0YEU8URnCFKmnAhWSya0k1NjBjZUKNpoy5FVR8%2BOwAevhw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"wsF8izVxS1CCuP2zGbGh5g"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room d572876c.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-d572876c","roomPrice":175,"roomid":5,"type":"Double"}]}
2026-09-26 06:55:14 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-25","checkout":"2026-11-27"},"depositpaid":false,"email":"invalid-email","firstname":"","lastname":"Guestf45c2a84","phone":"123","roomid":5}
2026-09-26 06:55:14 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=400 | elapsed_ms=237.7 | headers={"CF-RAY":"a4105ca12a21f0a6-DFW","Connection":"keep-alive","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:14 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=fPbGwSNAwA5ywKq9v2CjHNMpIU9L3erHw%2FBfPUzBOzWcb2dMMBiwZ5Xfp91sxrYjS62KQfamVgxtOlJ4gZm8lbfov9Pqr7wm9%2FCi2dQ%2BZkOfsU9ka3WLDb2xtI3Rcae9807GKzFP2voLaCMBpA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.1v22","x-railway-edge":"atl1","x-railway-request-id":"zDhnVwsDTJ6h5YbFBT7zVQ"} | body={"errors":["Firstname should not be blank","must be a well-formed email address","size must be between 3 and 18","size must be between 11 and 21"]}
2026-09-26 06:55:14 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":5} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-26 06:55:14 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=5 | status=200 | elapsed_ms=170.2 | headers={"CF-RAY":"a4105ca2aedcf78b-DFW","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 26 Sep 2026 06:55:14 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=wauBceQbmNJbnCHilMYdyIe3uwYRqTnC%2BCd4%2FT%2BZq8IwBLl7JKCoBMARl5jhYWzSn%2Fb3xoEhyaF7jG5BfjLP0475pWoeAqEh6Cs1JscuuSxhAqHgGK0E%2B5t76acp62hyL73%2BUe1EG49PlaPX7Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"atl1.mwdw","x-railway-edge":"atl1","x-railway-request-id":"I9ipAVq7Sw6lCQedBT7zVQ"} | body={"bookings":[]}
2026-09-26 06:55:14 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
